#*************************************************************************
#*************************************************************************
#   STATISTICS FROM DNS OF TURBULENT CHANNEL FLOW AT RETAU = 999

# References:

# M. Bernardini, S. Pirozzoli, P. Orlandi, "Velocity statistics in turbulent
# channel flow up to Retau=4000" Journal of Fluid Mechanics Volume 742, March 2014, Pages 171-191

#*************************************************************************
#*************************************************************************
#*
#* Date of file: January 07, 2014
#*
# ***********************************
# Wall-normal profiles:
# ***********************************

#        y                y+              U+              u'+             v'+             w'+            u'v'+           omx+'           omz'+          omy'+ 
0.8089387E-01   0.8079199E+02   0.1580647E+02   0.2042840E+01   0.1067784E+01   0.1404318E+01  -0.8775337E+00   0.1019215E+00   0.9286980E-01   0.9455129E-01
0.8414793E-01   0.8404195E+02   0.1589693E+02   0.2030956E+01   0.1069232E+01   0.1398521E+01  -0.8758177E+00   0.9971359E-01   0.9078969E-01   0.9242410E-01
0.8746326E-01   0.8735310E+02   0.1598586E+02   0.2019803E+01   0.1070278E+01   0.1392637E+01  -0.8739494E+00   0.9758276E-01   0.8880740E-01   0.9039430E-01
0.9083962E-01   0.9072522E+02   0.1607338E+02   0.2009307E+01   0.1070965E+01   0.1386690E+01  -0.8719394E+00   0.9553090E-01   0.8690868E-01   0.8845412E-01
0.9427691E-01   0.9415817E+02   0.1615958E+02   0.1999384E+01   0.1071331E+01   0.1380717E+01  -0.8697854E+00   0.9355002E-01   0.8509655E-01   0.8659766E-01
0.9777474E-01   0.9765160E+02   0.1624455E+02   0.1989945E+01   0.1071415E+01   0.1374733E+01  -0.8674905E+00   0.9163630E-01   0.8337208E-01   0.8482049E-01
0.1013331E+00   0.1012055E+03   0.1632836E+02   0.1980917E+01   0.1071252E+01   0.1368731E+01  -0.8650585E+00   0.8979495E-01   0.8172382E-01   0.8311513E-01
0.1049515E+00   0.1048193E+03   0.1641107E+02   0.1972242E+01   0.1070872E+01   0.1362734E+01  -0.8625037E+00   0.8801869E-01   0.8012084E-01   0.8147654E-01
0.1086298E+00   0.1084930E+03   0.1649270E+02   0.1963869E+01   0.1070302E+01   0.1356768E+01  -0.8598526E+00   0.8630376E-01   0.7858177E-01   0.7990330E-01
0.1123679E+00   0.1122263E+03   0.1657331E+02   0.1955753E+01   0.1069563E+01   0.1350823E+01  -0.8571081E+00   0.8465008E-01   0.7712691E-01   0.7839318E-01
0.1161653E+00   0.1160190E+03   0.1665294E+02   0.1947869E+01   0.1068674E+01   0.1344894E+01  -0.8542608E+00   0.8305802E-01   0.7572340E-01   0.7694139E-01
0.1200218E+00   0.1198707E+03   0.1673163E+02   0.1940200E+01   0.1067647E+01   0.1338996E+01  -0.8513209E+00   0.8152196E-01   0.7436371E-01   0.7554386E-01
0.1239372E+00   0.1237812E+03   0.1680941E+02   0.1932711E+01   0.1066494E+01   0.1333136E+01  -0.8482832E+00   0.8004016E-01   0.7306258E-01   0.7419699E-01
