# Model:              HydroFlux_CAD_211205_improved_injector_FINAL.mph
# Version:            COMSOL 5.5.0.359
# Date:               Jan 14 2022, 18:04
# Dimension:          3
# Nodes:              523
# Expressions:        5
# Description:        Velocity field, x component, Turbulence intensity, U+, k+, 
# Length unit:        m
# x                       y                        z                        u (m/s)                  sqrt(2/3*k)/spf.U (1)    uplus (1)                k/u_tau_probe^2 (1)      yplus (1)
0.185                     0.065                    0.0899868682112204       0.8835709128682095       4.259488917510964E-6     1.201940010965682        3.931622863461386E-11    1.207459536624862
0.185                     0.065                    0.0899749618313623       1.2933570556395          2.1596207666826384E-6    1.7593806801444043       2.165538488239499E-11    1.7703534959047507
0.185                     0.065                    0.08998745600862025      0.8633404793248008       4.4073720049314966E-6    1.1744201286779408       4.0188118264945845E-11   1.1797230968675925
0.185                     0.065                    0.08999999999999998      0.43160944241796495      1.0663308024330561E-5    0.5871273605745309       5.879492489511128E-11    0.5889855656090013
0.185                     0.065                    0.08998846713365792      0.8285402269692687       4.677400779626106E-6     1.1270806168304568       4.1687937744730337E-11   1.1320226335763897
0.185                     0.065                    0.039999999999999994     0.3365216953342714       9.538400200009418E-5     0.45777750748636825      2.859993829777641E-9     0.5299664725525532
0.185                     0.065                    0.04000597706605212      0.5143356907186099       6.164204068277506E-5     0.6996616080712655       2.7901916999402883E-9    0.8112285513327661
0.185                     0.065                    0.0400163835725386       0.8239232455536744       3.763354253225873E-5     1.120800040351005        2.668760585448146E-9     1.3021443904223746
0.185                     0.065                    0.040022529150768635     1.0067509232438665       3.038296750520801E-5     1.3695043579415915       2.5971086253907985E-9    1.592784732050296
0.185                     0.065                    0.0400200968002065       0.9343897655411038       3.291409777399642E-5     1.2710699601857651       2.6254623904628876E-9    1.4776876738658575
0.185                     0.065                    0.08809763859515861      21.49141661698479        0.016838012459494022     29.23522396231219        0.36348566069606103      90.47255484190403
0.185                     0.065                    0.08811868414446837      21.489115504992387       0.016808854880188465     29.232093711493494       0.3621503071649845       89.54398085366725
0.185                     0.065                    0.08778604915776544      21.525446372138312       0.01726230356203821      29.28151535068487        0.38324606496969793      104.74338193757393
0.185                     0.065                    0.08742842203842116      21.56441201721962        0.01773311342328046      29.33452113346271        0.40590228994135613      122.42938172864584
0.185                     0.065                    0.08745314897235498      21.561721074707922       0.017701089470799777     29.330860588027235       0.40433663165714295      121.15815895748007
0.185                     0.065                    0.0886621669096979       21.21483523993871        0.013490540749548889     28.858984524686825       0.22735942287427993      63.81577768478569
0.185                     0.065                    0.08839647448095146      21.348885596551142       0.015224558746772657     29.041336031227114       0.2932344690747714       75.96585145138302
0.185                     0.065                    0.0883811721248584       21.35660828512975        0.0153172232651995       29.05184136618062        0.2970296732132758       76.68973946842078
0.185                     0.065                    0.08814741139911128      21.47461025967651        0.016653837484328634     29.21236192261259        0.355021543222444        88.09566632637615
0.185                     0.065                    0.08674222006265239      21.537897159056143       0.017459580915821615     29.298452416795353       0.39250976975176716      153.69702101492163
