% Model:              HydroFlux_CAD_211205_improved_injector.mph
% Version:            COMSOL 5.5.0.359
% Date:               Jan 14 2022, 15:59
% Dimension:          3
% Nodes:              251
% Expressions:        5
% Description:        Velocity field, x component, U+, k+, y+, Turbulent kinetic energy
% Length unit:        m
% x                       y                        z                        u (m/s)                  uplus (1)                k/u_tau_probe^2 (1)      yplus (1)                k (m^2/s^2)
0.185                     0.065                    0.04098944980822054      16.04381733860427        21.824740614531418       0.6385368077296325       47.06614672332148        0.3450667970373899
0.185                     0.065                    0.04100253950011901      16.075838070334278       21.868299086280743       0.6425388192115634       47.676343094190656       0.34722949348191734
0.185                     0.065                    0.04108067606074806      16.266975616038664       22.12830749130409        0.6664290484040739       51.362642819135154       0.3601398296883139
0.185                     0.065                    0.040857441893941554     15.720880351298819       21.385442669782265       0.5981795423075373       41.02683082676016        0.3232576356111207
0.185                     0.065                    0.04086338898226998      15.73542944874908        21.40523411163965        0.599997578869597        41.29450881807522        0.3242401068575276
0.185                     0.065                    0.04087645054192877      15.767383403876135       21.44870174577796        0.6039905558469884       41.88384439438237        0.3263979210344918
0.185                     0.065                    0.04095463245501591      15.958644156196387       21.708877751340285       0.627892052371108        45.45317298018393        0.3393143461334666
0.185                     0.065                    0.04076656789268691      15.023040492880082       20.436156500597093       0.5694546336486535       36.62604264558071        0.3077346272173594
0.185                     0.065                    0.04077086238280866      15.05601909106625        20.481017978140358       0.5708121224480593       36.831527225776064       0.30846821736651714
0.185                     0.065                    0.04078026468846437      15.12822192500555        20.57923700476612        0.573784186202868        37.28226467086768        0.31007432762993203
0.185                     0.065                    0.040836591278355906     15.5607655845102         21.167635200402177       0.5915888153894929       40.007238172467765       0.3196959912388191
0.185                     0.065                    0.04067569497024035      14.325193900111273       19.48686117053453        0.5407292845072853       32.33431253372264        0.29221138078582454
0.185                     0.065                    0.0406799943172272       14.358210503896066       19.53177434788928        0.5420883454211872       32.534964159854596       0.2929458205093642
0.185                     0.065                    0.040689379409838695     14.430282701390086       19.62981566702356        0.5450550486462398       32.97378725372662        0.2945490339298548
0.185                     0.065                    0.040745741523926925     14.863108470720526       20.21859762256181        0.5628713914494292       35.63297834312722        0.3041770276047626
0.185                     0.065                    0.040584823119668496     13.627340616420724       18.53755673867105        0.5120034977378793       28.147635876709696       0.2766878978590659
0.185                     0.065                    0.040589127314325776     13.66039515224963        18.582521515779533       0.5133641277057961       28.34362775782655        0.27742318550309614
0.185                     0.065                    0.040598495257146525     13.732337183487628       18.68038576703063        0.5163254895846615       28.770984428080794       0.2790235124475084
0.185                     0.065                    0.040654892745341814     14.165443862016483       19.269549849232515       0.5341534960511537       31.36677927632047        0.28865780919357653
0.185                     0.065                    0.04054607514419286      13.095203566557942       17.813679569071738       0.4717910130905021       26.29577135380149        0.25495697630495395
0.185                     0.065                    0.04054789505275129      13.120196851824357       17.847678458272004       0.4736797181716925       26.382295196528155       0.2559776369857875
0.185                     0.065                    0.040551848433734876     13.174489691547521       17.92153414480698        0.4777825416317709       26.570404178885713       0.25819481246109477
0.185                     0.065                    0.04057603344445945      13.506629329758079       18.37335064824645        0.5028816559370364       27.725768042636556       0.27175843303386593
0.185                     0.065                    0.040507327132893296     12.563067830733743       17.089804186986626       0.4315779692158895       24.46408462476185        0.233225752543125
0.185                     0.065                    0.040509148722628924     12.588084119189542       17.123834367906998       0.4334684435331344       24.549747158014505       0.23424736932329557
0.185                     0.065                    0.040513099868188275     12.642346075148337       17.19764804261073        0.43756900023609524      24.735705659819846       0.2364633198377098
0.185                     0.065                    0.04053728929171089      12.974545188208774       17.649545450933637       0.4626730199774938       25.87869146405309        0.25002959131973795
0.185                     0.065                    0.04046857908574861      12.030933406885312       16.365930589609615       0.39136436764911936      22.6522476916433         0.21149422740313864
0.185                     0.065                    0.04047040235651457      12.055972696440387       16.399992059406877       0.39325661102203896      22.737062445992965       0.21251680018516858
0.185                     0.065                    0.040474351269215045     12.110203804254285       16.473763770733274       0.3973549034115397       22.9209060366617         0.21473152705924803
0.185                     0.065                    0.04049854509852541      12.442462296587696       16.92574195392436        0.4224638204599047       24.0517134867458         0.22830044505751232
0.185                     0.065                    0.0404362890190644       11.432522790168747       15.551900099534427       0.32744620093292903      21.112517503918646       0.17695269934357438
0.185                     0.065                    0.04043780957889173      11.460702268726376       15.590233234173972       0.330456166888807        21.184704401576486       0.17857929204584844
0.185                     0.065                    0.040441098652499854     11.52165640405494        15.67315042057998        0.3369669202207555       21.340957299072052       0.18209771850358716
0.185                     0.065                    0.04046126336664489      11.895355755266962       16.181501471697754       0.3768829794735197       22.302148778247926       0.2036684510752607
0.185                     0.065                    0.04040399892746084      10.834114336044681       14.737872551279093       0.2635271506370087       19.58697880464744        0.14241069379543989
0.185                     0.065                    0.04040552065449205      10.862315321987612       14.776234942865138       0.26653946635791503      19.65855668525995        0.14403855631627774
0.185                     0.065                    0.04040880818072347      10.923240513810134       14.85911275681392        0.2730472414991466       19.81329915453018        0.1475553733527283
0.185                     0.065                    0.040428975945832474     11.29699476752101        15.36753849295031        0.3129698611283702       20.76577673708719        0.16912965116731468
0.185                     0.065                    0.04037170881092574      10.235708040534696       13.923847939431685       0.19960721867476425      18.07543629170742        0.1078682117927442
0.185                     0.065                    0.0403732317050759       10.263930532276316       13.962239585805925       0.20262188396149236      18.1464132629184         0.10949734402449417
0.185                     0.065                    0.04037651768540616      10.324826808571165       14.045078065357048       0.20912668355597588      18.299666454640022       0.11301255306846354
0.185                     0.065                    0.040396688497448006     10.69863589192573        14.553578387405643       0.24905585452855825      19.24354918764044        0.1345903712444539
0.185                     0.065                    0.04026855966038137      7.837171089579082        10.661067909954651       0.041022713871052864     13.197254058325194       0.022168771337703737
0.185                     0.065                    0.040269619814711784     7.86417029363548         10.697795492480282       0.04188211514543619      13.247479016666329       0.022633193813481937
0.185                     0.065                    0.040271898177170085     7.922193912681998        10.776726236235357       0.04372904037622781      13.355469610380402       0.023631276564612325
0.185                     0.065                    0.040285912568222414     8.27910238038516         11.262236296986837       0.05508957476227856      14.02131918442912        0.029770536143345207
0.185                     0.065                    0.04029098341043299      8.408243172761356        11.437909220511328       0.059200147311213584     14.26292059795969        0.03199189924454863
0.185                     0.065                    0.040246135898281986     7.266100953190308        9.884229247661933        0.022845043862698967     12.13857076835693        0.01234551558884925
0.185                     0.065                    0.0402471966152937       7.293114380647547        9.920976178577503        0.023704911989183144     12.188493579263111       0.012810190352603933
0.185                     0.065                    0.04024947423518053      7.351118859656736        9.99988088573909         0.025551258287710737     12.295742431590373       0.013807960247373291
0.185                     0.065                    0.040263490087720885     7.708063138980663        10.485439661788037       0.03691311915519412      12.957298025476364       0.01994793665980119
0.185                     0.065                    0.040223712124130825     6.6950327606706725       9.1073932296551          0.004667137593770535     11.086802310799618       0.002522132164223009
0.185                     0.065                    0.040224773403795405     6.722060410825298        9.144159508003687        0.005527472545972897     11.136425842236434       0.002987059201696918
0.185                     0.065                    0.04022705028160036      6.780045762701461        9.22303819612578         0.007373240262550079     11.24294034781212        0.003984516429415551
0.185                     0.065                    0.040241067594291746     7.1370258210684145       9.708645643156014        0.01873642636272728      11.90024373768201        0.010125209000717063
0.185                     0.065                    0.04034480036142615      9.62655096938777         13.095198822410143       0.15280519523979263      16.794672921171205       0.08257628793482835
0.185                     0.065                    0.040346070250492326     9.655298831124886        13.134305140588255       0.1550139275469131       16.854890979854126       0.08376989208341452
0.185                     0.065                    0.040348807399214356     9.717262666582409        13.218595843218479       0.15977467874228854      16.98476192186084        0.08634261325875468
0.185                     0.065                    0.04036561861586159      10.097837172011605       13.736299310554163       0.18901453344532235      17.78468239433415        0.10214389970939684
0.185                     0.065                    0.040317891894597564     9.017396014668368        12.26655258440927        0.10600283790243421      15.52387296059435        0.057284183635275085
0.185                     0.065                    0.04031916259405986      9.04616210383525         12.3056836977417         0.1082129940700944       15.583661533714933       0.05847855724145544
0.185                     0.065                    0.04032189867109238      9.10810142333753         12.389941050804747       0.1129719121242018       15.712473227984963       0.061050287782930444
0.185                     0.065                    0.04033871199871117      9.488722149808497        12.907707393591222       0.14221562823258338      16.506271184592396       0.07685366094613058
0.185                     0.065                    0.04029225492024227      8.437027488257872        11.477065127501536       0.06141172724101361      14.322284518772838       0.03318704225514763
0.185                     0.065                    0.040294989926434856     8.498942311588829        11.56128915790989        0.06616881354025628      14.450049493623704       0.03575778291197311
0.185                     0.065                    0.04031180536270469      8.879609208338342        12.07911830709288        0.09541638665245872      15.23779559467513        0.05156324040913569
0.185                     0.065                    0.040205025636462416     6.187781796044833        8.417369122811655        0.0031579565463418008    10.199888205431924       0.001706567166431576
0.185                     0.065                    0.0402059104269745       6.2117996899917385       8.450041166779473        0.0032294154955125206    10.241772334292685       0.0017451837511162894
0.185                     0.065                    0.0402078072641756       6.2632898972056585       8.520084373637003        0.0033826109346381354    10.331601580843406       0.0018279709277674988
0.185                     0.065                    0.040219489416036106     6.580405777432924        8.951463744558648        0.004326099659311902     10.88595094974646        0.0023378344600228215
0.185                     0.065                    0.040186339140419594     5.680532410710968        7.727347164312145        0.0016487565575474669    9.317861532660604        8.90991932681495E-4
0.185                     0.065                    0.04018722432162833      5.704560824697165        7.7600335189096565       0.0017202479255791748    9.359533534320418        9.296260365951539E-4
0.185                     0.065                    0.04018912064411011      5.75603687644766         7.830057469793935        0.0018734036468331394    9.448844037803493        0.0010123917496148395
0.185                     0.065                    0.04020080380832005      6.073179107773217        8.261472686666265        0.002816985551090209     10.000186523371843       0.0015223056363367657
0.185                     0.065                    0.04016765263600008      5.173284602627004        7.037327351378697        1.395376471208171E-4     8.440682004322797        7.540647363667936E-5
0.185                     0.065                    0.040168538207889        5.19732353622405         7.070028016023082        2.1106143250354932E-4    8.482143573871076        1.1405809596329586E-4
0.185                     0.065                    0.0401704340159338       5.248785440475777        7.140032721768598        3.6417745566259336E-4    8.570939685523339        1.9680235603884895E-4
0.185                     0.065                    0.04018211819172227      5.565954003016392        7.571483757544034        0.001307852466756103     9.119299904099668        7.067665579148017E-4
0.185                     0.065                    0.04015208054258327      4.736548566621459        6.443226178218066        9.346772511903058E-5     7.702367958401905        5.051017912009136E-5
0.185                     0.065                    0.04015281879050718      4.757253489669075        6.471391518512158        9.565181053303477E-5     7.737292900224621        5.1690464029501965E-5
0.185                     0.065                    0.040154398241611974     4.801550832153032        6.531650120889735        1.0032457674792826E-4    7.81203918065284         5.421563791385626E-5
0.185                     0.065                    0.04016413578783786      5.0746507113645665       6.9031536041231165       1.2913301789376538E-4    8.27363902561865         6.978378746059827E-5
0.185                     0.065                    0.04013650844334635      4.299813720637982        5.849126623869367        4.739847442503028E-5     6.9674704550379065       2.561424737981448E-5
0.185                     0.065                    0.040137246962555974     4.320526188022946        5.877302226883501        4.9583329789833134E-5    7.002246723115693        2.6794948372452792E-5
0.185                     0.065                    0.04013882605676782      4.3648133839             5.9375470266192805       5.4254970350244416E-5    7.07663060013272         2.9319513950469777E-5
0.185                     0.065                    0.040148564304530426     4.637932092225109        6.309076123490058        8.306505642705745E-5     7.5361275534287575       4.488855242179113E-5
0.185                     0.065                    0.040120936338288        3.8630800633699653       5.255028686555197        1.3298944430889806E-6    6.2359658338753245       7.186780939163105E-7
0.185                     0.065                    0.04012167512877383      3.8838000748386006       5.283214551944289        3.5155197346539144E-6    6.2705944267826395       1.8997951567929095E-6
0.185                     0.065                    0.04012325386625563      3.928077128868131        5.343445555512555        8.186035214072143E-6     6.34461845425274         4.423752738387475E-6
0.185                     0.065                    0.04013299281511019      4.201214654505858        5.715000249967641        3.6997765214488655E-5    6.80202698037152         1.9993679589901734E-5
