# Model:              HydroFlux_CAD_211205_improved_sensor2_FINAL_workingfile.mph
# Version:            COMSOL 5.5.0.359
# Date:               Jan 14 2022, 18:04
# Dimension:          3
# Nodes:              472
# Expressions:        5
# Description:        Velocity field, x component, Turbulence intensity, U+, k+, 
# Length unit:        m
# x                       y                        z                        u (m/s)                  sqrt(2/3*k)/spf.U (1)    uplus (1)                k/u_tau_probe^2 (1)      yplus (1)
0.185                     0.065                    0.05311470068394508      23.137855913881435       0.011069306710498772     30.975445504827032       0.17639017042245747      437.034450949757
0.185                     0.065                    0.05962603934779099      23.304518793787004       0.008678134088923274     31.19856284869014        0.10996215553863178      753.7625707160495
0.185                     0.065                    0.059131046181658944     23.302844996144557       0.008804259437389883     31.19632207807368        0.11316645949581951      723.6708484961442
0.185                     0.065                    0.060283604696390915     23.290109033718405       0.008603708492666631     31.179272006038          0.10794984029070681      774.6419620321803
0.185                     0.065                    0.05608136249991441      23.299732592632473       0.009432451247303325     31.192155396176428       0.12986531779169186      582.1111003457228
0.185                     0.065                    0.05801077152298694      23.301701681904127       0.00904007443740398      31.19479148387856        0.11930063921078563      666.7627240901198
0.185                     0.065                    0.05551398015861703      23.26877322662156        0.009763127410623532     31.150709025419154       0.13876332553631054      550.1893426179554
0.185                     0.065                    0.06615021304945896      23.150820406515983       0.00811954745664341      30.99280151813241        0.09499119354939572      917.6469129525603
0.185                     0.065                    0.06333074702843436      23.21829103335505        0.008247102624098987     31.083126772668038       0.09857305556590772      883.0438081611945
0.185                     0.065                    0.06717382788423427      23.129237153992488       0.008110672803979362     30.963907273788994       0.09460659143894844      918.7007651328795
0.185                     0.065                    0.07244076863152211      22.978040968047246       0.008244149198951797     30.761495726421945       0.09647172570417904      828.3539527030547
0.185                     0.065                    0.0757235946780168       22.889364714259813       0.008760503107628792     30.64278176792085        0.10809549636327462      677.2812461044974
0.185                     0.065                    0.07183145272497166      22.993694031157233       0.008208042229819157     30.782451021724658       0.09575895174567207      851.1711725230325
0.185                     0.065                    0.07041023302759016      23.035053428404773       0.008178242141782373     30.837820272891317       0.0954073224877568       870.9799113706418
0.185                     0.065                    0.044                    0.6660035970913886       0.3291799809557469       0.8916019792199662       0.129334712699167        0.4997484576300028
0.185                     0.065                    0.0440071941753446       0.9205565112146813       0.2579047420280998       1.2323807423373592       0.15164370382508005      0.8277085923601905
0.185                     0.065                    0.04401224449986435      1.0992531320491328       0.22686507496100655      1.4716080701051613       0.16730465723493         1.0583449802184985
0.185                     0.065                    0.04401750965620503      1.285551189246289        0.20323759739409594      1.7210117028291243       0.1836317997431992       1.2991512720449971
0.185                     0.065                    0.044020907701134294     1.4057848779782287       0.19111468397432188      1.8819726875902993       0.19416906781649834      1.454758665797035
0.185                     0.065                    0.08998758146376686      0.9689703381639664       1.0634991042238752E-5    1.2971940017823713       2.8548026589332763E-10   1.165517167675964
0.185                     0.065                    0.08997610778481543      1.424962582329622        1.1965929396371543E-6    1.9076465416524588       7.815930136631207E-12    1.7167102883447756
0.185                     0.065                    0.08998815310871495      0.946251761334992        1.1151068218402148E-5    1.2667798596452458       2.9931412827907655E-10   1.1381056510500192
0.185                     0.065                    0.08999999999999998      0.47542716229954096      3.105474902114882E-5     0.6364707348915964       5.860098080524138E-10    0.5710919772198234
0.185                     0.065                    0.0899891079261323       0.908304967853261        1.2057003882807907E-5    1.2159791788064003       3.224207988495265E-10    1.092330851510202
0.185                     0.065                    0.044344957933987794     9.324784541623126        0.19058011926690907      12.483410584297616       8.490589273146686        16.39110213156912
0.185                     0.065                    0.04437589157114773      9.498634023682023        0.18902016016123185      12.716148880257313       8.666531668395601        17.813640857747934
