% Model:              HydroFlux_CAD_211205_improved_sensor2_FINAL_workingfile.mph
% Version:            COMSOL 5.5.0.359
% Date:               Jan 14 2022, 15:18
% Dimension:          3
% Nodes:              211
% Expressions:        5
% Description:        Velocity field, x component, U+, k+, y+, Turbulent kinetic energy
% Length unit:        m
% x                       y                        z                        u (m/s)                  uplus (1)                k/u_tau_probe^2 (1)      yplus (1)                k (m^2/s^2)
0.185                     0.065                    0.04858019601050278      21.862129095047393       29.267586025412925       0.9202959224098689       216.39158095893526       0.5134978146274819
0.185                     0.065                    0.04938229871274545      22.29799795591233        29.851098698204396       0.5896554669451164       256.9745524803979        0.32901025233991377
0.185                     0.065                    0.04955612009998537      22.39245385269262        29.97755006406203        0.5180033175559803       266.6003025284879        0.28903047928133363
0.185                     0.065                    0.049748559644712274     22.497027001381632       30.11754574389256        0.438676445149206        277.6422175759528        0.24476843852878308
0.185                     0.065                    0.04902958429163258      22.10633019003739        29.594506451326012       0.7350503852263696       238.38978938257452       0.4101363020999319
0.185                     0.065                    0.05004359049516455      22.657349065310722       30.332174418776717       0.31705968148920777      295.40937096837496       0.17690989342304594
0.185                     0.065                    0.05214579625547216      23.046296909416014       30.85287230859612        0.20278452804557667      393.8386212863355        0.11314774895339935
0.185                     0.065                    0.05254634981639244      23.111609517232072       30.940308548657182       0.1846241906007486       415.8599076931667        0.1030148195730346
0.185                     0.065                    0.050921782739917446     22.819831247957126       30.5496949190686         0.26932146508004934      332.9982025599723        0.15027338531364767
0.185                     0.065                    0.05125838460651081      22.882108962539235       30.633068242914305       0.25102390797091995      348.6627594510058        0.1400638914326404
0.185                     0.065                    0.051347667223790486     22.89862793616336        30.65518276247888        0.24617053682042375      352.9456599036055        0.137355854356012
0.185                     0.065                    0.05082944948576802      22.802747848787206       30.52682478356449        0.27434066775996746      328.8296898438097        0.15307395146258956
0.185                     0.065                    0.05300582275502208      23.132827940015257       30.96871438284792        0.17796754650280547      432.88358522195114       0.09930060970443498
0.185                     0.065                    0.05311470068394513      23.137855913881438       30.97544550482704        0.17639017042245675      437.03445094975876       0.09842048066074245
0.185                     0.065                    0.05284188714865372      23.12525740710092        30.958579449403643       0.1803425742679429       426.71943535939226       0.10062580471766955
0.185                     0.065                    0.05913104618165893      23.302844996144557       31.19632207807368        0.11316645949581959      723.6708484961435        0.06314352614761694
0.185                     0.065                    0.05919347496731873      23.303056096340292       31.196604685184443       0.11276233107825927      727.372310176836         0.06291803448325893
0.185                     0.065                    0.05962603934779099      23.304518793787004       31.19856284869014        0.10996215553863178      753.7625707160495        0.061355619628255746
0.185                     0.065                    0.059682839800641235     23.303274079631816       31.196896506932866       0.1097883318759297       755.5345016924537        0.06125863118274103
0.185                     0.065                    0.06028360469639097      23.29010903371841        31.17927200603801        0.10794984029070664      774.6419620321823        0.06023280743601513
0.185                     0.065                    0.057565339317380115     23.30124708893456        31.19418290459584        0.12173964930431486      645.8313862213931        0.06792711164859483
